time,open,high,low,close,tick_volume,spread,real_volume
2024-01-01 05:00:00,42342.45,42349.92,42141.93,42189.85,4603,2957,0
2024-01-01 06:00:00,42189.94,42382.64,42149.3,42330.27,4589,2880,0
2024-01-01 07:00:00,42331.42,42435.58,42321.69,42423.89,4183,1970,0
2024-01-01 08:00:00,42425.05,42496.87,42373.62,42484.62,4136,1586,0
2024-01-01 09:00:00,42485.62,42639.45,42468.1,42585.53,4581,1408,0
2024-01-01 10:00:00,42582.24,42699.35,42568.85,42618.98,4506,1339,0
2024-01-01 11:00:00,42618.87,42715.25,42534.48,42610.65,4564,1756,0
2024-01-01 12:00:00,42610.68,42732.87,42553.52,42604.53,4671,1715,0
2024-01-01 13:00:00,42603.55,42701.79,42547.28,42667.97,4319,1845,0
2024-01-01 14:00:00,42665.55,42670.16,42510.99,42574.65,4753,1770,0
2024-01-01 15:00:00,42572.55,42813.6,42538.58,42737.06,4993,1607,0
2024-01-01 16:00:00,42738.3,42815.59,42616.56,42688.56,5407,1664,0
2024-01-01 17:00:00,42689.65,42791.84,42653.53,42781.59,4617,1538,0
2024-01-01 18:00:00,42782.84,43195.89,42782.84,43088.83,6557,1505,0
2024-01-01 19:00:00,43091.09,43553.64,43060.04,43495.26,6169,1588,0
2024-01-01 20:00:00,43495.48,43858.55,43495.48,43695.49,7281,1047,0
2024-01-01 21:00:00,43696.9,43816.15,43452.03,43612.77,5881,1697,0
2024-01-01 22:00:00,43612.66,43668.53,43356.41,43510.43,4954,1471,0
2024-01-01 23:00:00,43513.47,44253.22,43513.47,44243.46,7284,1704,0
2024-01-02 00:00:00,44238.0,45237.74,44197.18,45084.91,10878,784,0
2024-01-02 01:00:00,45087.28,45423.03,44721.25,44887.5,8768,854,0
2024-01-02 02:00:00,44891.73,45486.18,44891.73,45486.18,6667,1730,0
2024-01-02 03:00:00,45479.6,45584.39,45168.77,45480.37,7471,1927,0
2024-01-02 04:00:00,45481.99,45559.23,45200.08,45212.48,6546,1949,0
2024-01-02 05:00:00,45210.14,45374.27,45141.62,45198.15,5536,1852,0
2024-01-02 06:00:00,45200.95,45361.63,45147.06,45207.31,5278,655,0
2024-01-02 07:00:00,45201.7,45639.72,45201.7,45495.92,7365,1838,0
2024-01-02 08:00:00,45493.51,45873.59,45377.59,45812.23,8897,678,0
2024-01-02 09:00:00,45813.82,45912.73,45651.38,45702.9,6818,1800,0
2024-01-02 10:00:00,45700.91,45754.75,45461.0,45615.99,6811,1445,0
