time,open,high,low,close,tick_volume,spread,real_volume
2022-11-30 05:00:00,1754.251,1755.456,1753.784,1753.804,2910,200,0
2022-11-30 06:00:00,1753.773,1754.771,1752.893,1753.444,3267,200,0
2022-11-30 07:00:00,1753.413,1756.776,1752.887,1755.141,4113,200,0
2022-11-30 08:00:00,1755.11,1759.803,1754.836,1759.496,4732,200,0
2022-11-30 09:00:00,1759.527,1762.06,1758.79,1761.944,4313,200,0
2022-11-30 10:00:00,1761.974,1763.097,1758.331,1758.635,4151,200,0
2022-11-30 11:00:00,1758.667,1762.362,1758.299,1762.171,3857,200,0
2022-11-30 12:00:00,1762.202,1763.242,1760.278,1760.731,4044,200,0
2022-11-30 13:00:00,1760.763,1764.696,1754.083,1755.062,10929,200,0
2022-11-30 14:00:00,1755.033,1763.228,1754.429,1756.978,9680,200,0
2022-11-30 15:00:00,1757.012,1757.075,1749.108,1752.565,8551,200,0
2022-11-30 16:00:00,1752.592,1754.194,1750.397,1752.085,5148,200,0
2022-11-30 17:00:00,1752.076,1753.974,1751.172,1752.79,3946,200,0
2022-11-30 18:00:00,1752.759,1761.017,1744.645,1760.236,13843,200,0
2022-11-30 19:00:00,1760.267,1768.811,1757.723,1767.77,11601,200,0
2022-11-30 20:00:00,1767.804,1769.909,1766.279,1769.846,5403,200,0
2022-11-30 21:00:00,1769.851,1769.865,1767.835,1768.18,2615,200,0
2022-11-30 23:00:00,1768.645,1773.44,1768.387,1773.332,4377,200,0
2022-12-01 00:00:00,1773.354,1778.428,1773.32,1778.306,4395,200,0
2022-12-01 01:00:00,1778.337,1779.988,1775.501,1775.807,5654,200,0
2022-12-01 02:00:00,1775.802,1775.941,1771.933,1773.415,4902,200,0
2022-12-01 03:00:00,1773.429,1776.826,1773.052,1776.571,3636,200,0
2022-12-01 04:00:00,1776.54,1779.905,1776.063,1779.583,3000,200,0
2022-12-01 05:00:00,1779.584,1782.504,1779.186,1780.087,4042,200,0
2022-12-01 06:00:00,1780.092,1783.658,1779.628,1782.748,3944,200,0
2022-12-01 07:00:00,1782.717,1783.556,1774.618,1775.374,5561,200,0
2022-12-01 08:00:00,1775.41,1779.11,1774.727,1778.134,6121,200,0
2022-12-01 09:00:00,1778.199,1778.667,1776.222,1778.185,4409,200,0
2022-12-01 10:00:00,1778.19,1780.002,1776.46,1776.589,3891,200,0
