time,open,high,low,close,tick_volume,spread,real_volume
2022-12-11 10:00:00,17164.32,17167.8,17143.11,17163.61,3311,486,0
2022-12-11 11:00:00,17163.61,17166.66,17139.16,17164.31,3155,522,0
2022-12-11 12:00:00,17164.27,17168.59,17139.01,17161.53,3276,541,0
2022-12-11 13:00:00,17161.6,17167.8,17123.58,17150.47,3305,539,0
2022-12-11 14:00:00,17150.57,17154.55,17129.17,17150.05,3328,506,0
2022-12-11 15:00:00,17150.04,17154.18,17141.62,17149.57,3182,569,0
2022-12-11 16:00:00,17149.6,17166.73,17145.33,17159.18,3211,856,0
2022-12-11 17:00:00,17159.24,17176.55,17158.28,17176.55,3273,679,0
2022-12-11 18:00:00,17176.57,17212.84,17160.81,17199.13,3179,563,0
2022-12-11 19:00:00,17199.5,17261.2,17137.43,17173.6,3598,681,0
2022-12-11 20:00:00,17173.71,17177.74,17085.79,17107.93,3525,522,0
2022-12-11 21:00:00,17106.71,17149.06,17096.65,17117.43,3379,604,0
2022-12-11 22:00:00,17117.46,17131.6,17092.71,17107.85,3434,1225,0
2022-12-11 23:00:00,17107.58,17130.45,17068.77,17092.27,3501,1207,0
2022-12-12 00:00:00,17084.84,17088.76,16938.5,16949.15,3660,845,0
2022-12-12 01:00:00,16950.16,16978.0,16921.14,16951.19,3478,986,0
2022-12-12 02:00:00,16953.61,16958.84,16879.83,16903.57,3553,1069,0
2022-12-12 03:00:00,16901.91,16925.96,16881.73,16921.83,3486,1138,0
2022-12-12 04:00:00,16922.49,16938.14,16905.54,16932.6,3444,1151,0
2022-12-12 05:00:00,16932.77,16956.46,16923.84,16951.14,3418,1199,0
2022-12-12 06:00:00,16952.25,16953.05,16935.75,16945.03,3374,1153,0
2022-12-12 07:00:00,16945.33,16951.72,16911.04,16929.77,3384,1152,0
2022-12-12 08:00:00,16929.76,16942.61,16910.46,16937.71,3410,1157,0
2022-12-12 09:00:00,16937.65,16978.17,16932.68,16969.15,3409,1338,0
2022-12-12 10:00:00,16969.33,17008.74,16963.71,16995.47,3365,1250,0
2022-12-12 11:00:00,16995.67,16996.73,16987.53,16993.94,3290,956,0
2022-12-12 12:00:00,16994.06,17009.96,16923.95,16965.51,3479,922,0
2022-12-12 13:00:00,16965.35,17006.67,16962.77,16977.28,3370,801,0
2022-12-12 14:00:00,16976.85,17047.88,16972.91,17023.02,3521,860,0
2022-12-12 15:00:00,17023.62,17049.94,17005.61,17013.88,3471,880,0
2022-12-12 16:00:00,17014.87,17030.95,16994.98,17009.76,3445,793,0
2022-12-12 17:00:00,17009.64,17022.55,16984.66,17020.19,3431,772,0
2022-12-12 18:00:00,17020.2,17034.93,16995.19,17029.57,3386,733,0
2022-12-12 19:00:00,17029.51,17049.33,17005.44,17045.07,3447,755,0
2022-12-12 20:00:00,17044.68,17126.15,17044.07,17126.15,3488,780,0
2022-12-12 21:00:00,17126.26,17217.83,17120.43,17181.18,3587,920,0
2022-12-12 22:00:00,17181.36,17197.11,17147.41,17162.98,3436,870,0
2022-12-12 23:00:00,17163.17,17242.14,17156.13,17213.88,3535,825,0
2022-12-13 00:00:00,17214.45,17241.17,17148.08,17161.23,3487,729,0
2022-12-13 01:00:00,17161.11,17174.85,17142.09,17149.1,3461,853,0
2022-12-13 02:00:00,17149.17,17165.6,17120.44,17154.75,3472,854,0
2022-12-13 03:00:00,17154.99,17171.06,17138.45,17157.68,2508,861,0
2022-12-13 04:00:00,17157.53,17192.13,17141.72,17178.89,3480,834,0
2022-12-13 05:00:00,17178.55,17201.62,17167.42,17194.3,3400,753,0
2022-12-13 06:00:00,17193.64,17223.0,17149.27,17160.67,3479,800,0
2022-12-13 07:00:00,17160.88,17183.72,17093.95,17169.79,3528,834,0
2022-12-13 08:00:00,17169.55,17195.75,17160.22,17164.69,3457,735,0
2022-12-13 09:00:00,17165.52,17485.46,17161.95,17419.92,3591,781,0
2022-12-13 10:00:00,17416.81,17474.57,17374.09,17401.58,3734,867,0
2022-12-13 11:00:00,17398.19,17471.25,17386.4,17444.56,3522,780,0
2022-12-13 12:00:00,17444.77,17495.89,17404.32,17423.91,3568,795,0
2022-12-13 13:00:00,17423.42,17961.92,17395.97,17894.54,4824,442,0
2022-12-13 14:00:00,17893.61,17944.53,17825.15,17860.84,3653,909,0
2022-12-13 15:00:00,17861.46,17871.38,17721.09,17743.05,3632,843,0
2022-12-13 16:00:00,17741.36,17819.46,17708.39,17739.55,3571,795,0
2022-12-13 17:00:00,17739.07,17774.85,17599.36,17628.1,3663,847,0
2022-12-13 18:00:00,17625.43,17723.95,17613.21,17704.56,3556,802,0
2022-12-13 19:00:00,17704.67,17773.08,17687.2,17728.73,3493,787,0
2022-12-13 20:00:00,17729.75,17768.19,17693.49,17742.49,3471,742,0
2022-12-13 21:00:00,17743.23,17759.87,17718.9,17753.69,3432,728,0
2022-12-13 22:00:00,17754.05,17770.86,17699.27,17763.0,3447,707,0
2022-12-13 23:00:00,17762.85,17800.12,17732.79,17767.94,3503,657,0
2022-12-14 00:00:00,17767.85,17814.8,17744.52,17808.69,3535,740,0
2022-12-14 01:00:00,17807.08,17828.34,17763.64,17770.32,3470,712,0
2022-12-14 02:00:00,17769.15,17797.24,17744.15,17782.35,3441,796,0
2022-12-14 03:00:00,17782.91,17827.12,17768.91,17770.74,3454,868,0
2022-12-14 04:00:00,17768.19,17779.08,17738.62,17761.45,3388,845,0
2022-12-14 05:00:00,17761.6,17780.0,17730.04,17771.83,3348,760,0
2022-12-14 06:00:00,17772.71,17791.26,17752.85,17774.65,3400,976,0
2022-12-14 07:00:00,17774.46,17801.43,17770.17,17792.23,3427,954,0
2022-12-14 08:00:00,17792.34,17860.2,17780.83,17828.49,3397,1063,0
2022-12-14 09:00:00,17827.84,17836.37,17777.35,17806.01,3392,970,0
2022-12-14 10:00:00,17805.15,17827.51,17786.42,17823.35,3412,696,0
2022-12-14 11:00:00,17823.34,17847.48,17801.5,17819.08,3451,702,0
2022-12-14 12:00:00,17818.19,17913.47,17811.73,17904.25,3585,702,0
2022-12-14 13:00:00,17903.56,17946.62,17856.66,17892.31,3607,778,0
2022-12-14 14:00:00,17892.49,18085.41,17886.39,18053.35,3869,801,0
2022-12-14 15:00:00,18056.65,18099.49,18020.27,18062.44,3629,878,0
2022-12-14 16:00:00,18063.18,18147.37,18059.47,18098.13,3657,814,0
2022-12-14 17:00:00,18096.96,18144.79,18074.12,18084.8,3529,840,0
2022-12-14 18:00:00,18085.76,18363.11,17982.48,18235.18,4091,102,0
2022-12-14 19:00:00,18231.52,18301.55,17713.63,17791.51,5248,195,0
2022-12-14 20:00:00,17791.03,17936.76,17670.37,17764.05,3841,347,0
2022-12-14 21:00:00,17760.88,17842.01,17760.88,17822.64,3518,890,0
2022-12-14 22:00:00,17825.22,17868.19,17791.64,17826.15,3452,863,0
2022-12-14 23:00:00,17828.51,17837.05,17773.95,17803.75,3496,685,0
2022-12-15 00:00:00,17804.13,17851.4,17776.99,17784.3,3530,983,0
2022-12-15 01:00:00,17785.88,17819.95,17608.64,17627.95,3659,912,0
2022-12-15 02:00:00,17630.77,17723.38,17572.99,17716.22,3685,933,0
2022-12-15 03:00:00,17716.6,17750.02,17704.21,17724.83,3455,785,0
